METHOD;PARA_NAME;DATATYPE;DEFAULTVAL;INTVAL;DOUBLEVAL;STRVAL;DESCRIPTION;DEPENDENCY
VARMA;SEARCH_METHOD;INTEGER;1;1;;;Speci es the orders of a VARMA model:\n0: eccm1: grid search;eccm is valid only when\nSEASONAL_PERIOD <= 1.
VARMA;INITIAL_GUESS;INTEGER;1;1;;;The model used as initial estimation for\nVARMA:0: ARMA1: VAR;Valid only for VARMA.
VARMA;INFORMATION_CRITERION;INTEGER;0;0;;;Information criteria for order speci cation:\n0: Akaike information criterion(AIC)1: Bayesian information criterion(BIC);
VARMA;MAX_ITERATION;INTEGER;200;200;;;Maximum number of iterations of LBFGS-B optimizer.;Valid only for VMA and\nVARMA.
VARMA;FINITE_DIFFERENCE_ACCURACY;INTEGER;1;1;;;Polynomial order of finite difference. Approximate the gradient of objective function with finite difference. The valid range is from 1 to 4.;Valid only for VMA and\nVARMA.
VARMA;DISPLACEMENT;DOUBLE;2.2×10-6;;0.0000022;;The step length for finite-difference method.;Valid only for VMA and\nVARMA.
VARMA;FTOL;DOUBLE;1.0×10-5;;0.00001;;Tolerance for objective convergence test.;Valid only for VMA and\nVARMA.
VARMA;GTOL;DOUBLE;1.0×10-5;;0.00001;;Tolerance for gradient convergence test.;Valid only for VMA and\nVARMA.
VARMA;INCLUDE_MEAN;INTEGER;1 when D +\nSEASONAL_D < 10 otherwise;;;;An indicator whether to include the mean vector:\n0: no1: yes;Nonvanishing only when D + SEASONAL_D < 1.
VARMA;HESSIAN;INTEGER;0;0;;;Specifies whether to calculate the Hessian matrix:\n0: no1: yes;VMA and VARMA will output standard error of parameter estimates only when HESSIAN = 1.
RDT;THREAD_RATIO;DOUBLE;-1;;-1;;The ratio of available threads.\n0: single thread0~1: percentageOthers: heuristically determined;
RDT;TREES_NUM;INTEGER;100;100;;;Specifies the number of trees to grow.;
RDT;ALLOW_MISSING_DEPENDENT;INTEGER;1;;;;Specifies if missing target value is allowed.\n0: Not allowed. An error occurs if missing dependent presents.1: Allowed. The datum with missing dependent is removed.;
AHC;CLUSTER_METHOD;INTEGER;5;5;;;Linkage type between two clusters.\n1: Nearest Neighbor (single linkage)2: Furthest Neighbor (complete linkage)3: Group Average (UPGMA)4: Weighted Average (WPGMA)5: Centroid Clustering6: Median Clustering7: Ward MethodNoteFor clustering method 5, 6, or 7, the corresponding distance function (DISTANCE_FUNC) must be set to 11.The initial cluster distances in Ward's method are defined to be the squared Euclidean distance between points.;
AHC;THREAD_RATIO;DOUBLE;0;;0;;Specifies the ratio of total number of threads that can be used by this function. The value range is from 0 to 1, where 0 means only using 1 thread, and 1 means using at most all the currently available threads. Values outside the range will be ignored and this function heuristically determines the number of threads to use.;
AUTOML;CONFIG_DICT;VARCHAR or NVARCHAR;default;;;;;
