METHOD;PARA_NAME;DATATYPE;DEFAULTVAL;INTVAL;DOUBLEVAL;STRVAL;DESCRIPTION;DEPENDENCY
HGBT;COL_SAMPLE_RATE_BYTREE _VALUES;NVARCHAR;No default value;;;;Specifies values of parameter COL_SAMPLE_RATE_BYTREE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;COL_SAMPLE_RATE_BYTREE _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter COL_SAMPLE_RATE_BYTREE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;LAMBDA _VALUES;NVARCHAR;No default value;;;;Specifies values of parameter LAMBDA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;LAMBDA _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter LAMBDA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ALPHA _VALUES;NVARCHAR;No default value;;;;Specifies values of parameter ALPHA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;ALPHA _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter ALPHA to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;BASE_SCORE _VALUES;NVARCHAR;No default value;;;;Specifies values of parameter BASE_SCORE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
HGBT;BASE_SCORE _RANGE;NVARCHAR;No default value;;;;Specifies range of parameter BASE_SCORE to be selected;Only valid when PARAM_SEARCH_STRATEGY is specified
MLR;THREAD_RATIO;DOUBLE;0;;0;;Specifies the ratio of total number of threads that can be used by this function. The value range is from 0 to 1, where 0 means only using 1 thread, and 1 means using at most all the currently available threads. Values outside the range will be ignored and this function heuristically determines the number of threads to use.;Only valid when ALG is\n1,4,5 or 6
MLR;ALG;INTEGER;1;1;;;Specifies algorithms for solving the least square problem: \n1: QR decomposition (numerically stable, but fails when A is rank-deficient) 2: SVD (numerically stable and can handle rank deficiency but computationally expensive) 4: Cyclical coordinate descent method to solve elastic net regularized multiple linear regression 5: Cholesky decomposition (fast but numerically unstable) 6: Alternating direction method of multipliers (ADMM) to solve elastic net regularized multiple linear regression. This method is faster than the cyclical coordinate descent method in many cases and recommended.;The value 4 and 6 are supported only when VARIABLE_SELECTION is 0.
MLR;CATEGORICAL_VARIABLE;VARCHAR;No\ndefault value;;;;Indicates by the column name whether or not a column data is actually corresponding to a category variable even the data type of this column is INTEGER. By default,\n'VARCHAR' or 'NVARCHAR' is category variable, and 'INTEGER' or 'DOUBLE' is continuous variable.;The data type of the column speci ed by this parameter must be INTEGER.
MLR;VARIABLE_SELECTION;INTEGER;0;0;;;0: All variables are included\n1: Forward selection2: Backward selection3: Stepwise selection;The value 1 or 2 or 3 are supported only when ALG is not 4 or 6.
MLR;MANDATORY_FEATURE;VARCHAR;No\ndefault value;;;;Specifies the column name that needs to be included in the nal training model when executing the variable selection. This parameter can be specified multiple times, each time with one column name as feature.\n NoteThis parameter is a hint. There are exceptional cases that speci ed mandatory feature is excluded in the nal model, for instance, some mandatory features can be represented as a linear combination of other features,among which some are also mandatory features.;Only valid when\nVARIABLE_SELECTION is not 0.
MLR;NO_INTERCEPT;INTEGER;0;0;;;Specifies whether the intercept term should be ignored in the model.\n0: Do not ignore1: Ignore;
MLR;ALPHA_TO_ENTER;DOUBLE;0.05 or 0.15;;;;P-value for forward selection and stepwise selection.;When\nVARIABLE_SELECTION is 1, default value is0.05, whenVARIABLE_SELECTIONis 3, default value is0.15.
MLR;ALPHA_TO_REMOVE;DOUBLE;0.1 or 0.15;;;;P-value for backward selection and stepwise selection.;When\nVARIABLE_SELECTION is 2, default value is0.1, whenVARIABLE_SELECTIONis 3, default value is0.15.
MLR;ENET_LAMBDA;DOUBLE;No\ndefault value;;;;Penalized weight. The value should be equal to or greater than 0.;Only valid when ALG is 4 or 6.
MLR;ENET_ALPHA;DOUBLE;1;;1;;The elastic net mixing parameter. The value range is between 0 and 1 inclusively.\n0: Ridge penalty1: LASSO penalty;Only valid when ALG is 4 or 6.
MLR;HANDLE_MISSING;INTEGER;;;;;Whether to handle missing value:\n0: No1: Yes;
MLR;MAX_ITERATION;INTEGER;100000;100000;;;Maximum number of passes over training data. If convergence is not reached after the speci ed number of iterations, an error will be generated.;Only valid when ALG is 4 or 6.
